player,Var.25,tournament name,course,date,purse,season,no_cut,Finish,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
Davis Thompson,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,-0.77,0.4,-2.03,0.9,-0.73,-1.5
D.J. Trahan,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,0.28,-0.85,-0.64,0.21,-1.28,-1
Erik van Rooyen,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T37,-0.1,0.11,0.9,-0.1,0.91,0.81
Fabian Gomez,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,-0.35,0.42,-0.53,-0.54,-0.66,-1
Francesco Molinari,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,-2.01,1.08,-0.51,0.44,1.01,-1
Gary Woodland,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,0.48,0.64,-0.29,-0.84,-0.49,0
Harry Higgs,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T15,1.51,0.77,-0.49,0.02,0.3,1.81
Hank Lebioda,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,0.16,-0.08,0.07,-0.16,-0.17,0
Hideki Matsuyama,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,-0.98,-1.06,1.83,0.2,0.97,0
Hudson Swafford,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T37,-0.42,-0.32,1.51,0.04,1.24,0.81
Harold Varner III,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T57,0.21,-0.24,0.62,-0.79,-0.4,-0.19
John Augenstein,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T37,0.5,-0.02,0.67,-0.34,0.31,0.81
Jonas Blixt,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,-1.49,-0.45,-3.28,0.21,-3.51,-5
Joseph Bramlett,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,-0.21,1.26,0.11,-1.66,-0.29,-0.5
Joel Dahmen,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,0.01,-0.26,-0.4,0.15,-0.51,-0.5
Jason Dufner,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T24,0.3,0.92,-0.02,0.37,1.27,1.56
James Hahn,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T62,-0.44,0.1,-0.07,-0.27,-0.24,-0.69
Jim Herman,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,-0.78,-0.2,-0.13,0.11,-0.22,-1
John Huh,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,-0.86,0.59,-0.45,0.21,0.35,-0.5
Jason Kokrak,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,-1.28,-1.37,-0.11,-0.25,-1.72,-3
J.T. Poston,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,0.36,0.93,-2.35,0.05,-1.37,-1
Ted Potter Jr.,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,-0.31,-1.61,0.31,0.1,-1.19,-1.5
Justin Rose,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T10,0.72,0.4,0.71,0.24,1.35,2.06
John Senden,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,0.34,0,-0.18,-0.16,-0.34,0
J.J. Spaun,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,-0.09,-0.5,0.38,-0.29,-0.41,-0.5
Josh Teater,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,-1.14,0.2,-1.49,-1.07,-2.36,-3.5
Jhonattan Vegas,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T15,0.66,-0.03,0.5,0.69,1.16,1.81
Johnson Wagner,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T55,1.04,0.24,-0.29,-0.93,-0.97,0.06
Kiradech Aphibarnrat,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T37,1.07,-0.22,-0.23,0.2,-0.25,0.81
K.J. Choi,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,0.03,-0.27,0.38,-1.15,-1.04,-1
Kramer Hickok,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,-1.82,-0.1,-0.64,0.05,-0.69,-2.5
Kevin Kisner,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,1,1.1,0.3,0.96,0.2,1.47,2.56
Kyoung-Hoon Lee,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T24,-1.16,0.98,0.64,1.1,2.72,1.56
Keith Mitchell,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T55,-0.5,0.05,-0.73,1.23,0.56,0.06
Kevin Na,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T2,-0.01,0.2,1.77,0.6,2.57,2.56
Kyle Stanley,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,-1.04,-1.17,0.64,0.56,0.03,-1
Kevin Streelman,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T7,0.62,0,0.9,0.78,1.69,2.31
Kevin Tway,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T46,0.63,-0.44,0.29,0.09,-0.06,0.56
