Date,^FTSE,^GSPC
25/07/2014,6791.600098,1978.339966
28/07/2014,6788.100098,1978.910034
29/07/2014,6807.799805,1969.949951
30/07/2014,6773.399902,1970.069946
31/07/2014,6730.100098,1930.670044
01/08/2014,6679.200195,1925.150024
04/08/2014,6677.5,1938.98999
05/08/2014,6682.5,1920.209961
06/08/2014,6636.200195,1920.23999
07/08/2014,6597.399902,1909.569946
08/08/2014,6567.399902,1931.589966
11/08/2014,6632.799805,1936.920044
12/08/2014,6632.399902,1933.75
13/08/2014,6656.700195,1946.719971
14/08/2014,6685.299805,1955.180054
15/08/2014,6689.100098,1955.060059
18/08/2014,6741.299805,1971.73999
19/08/2014,6779.299805,1981.599976
20/08/2014,6755.5,1986.51001
21/08/2014,6777.700195,1992.369995
22/08/2014,6775.299805,1988.400024
26/08/2014,6822.799805,2000.02002
27/08/2014,6830.700195,2000.119995
28/08/2014,6805.799805,1996.73999
29/08/2014,6819.799805,2003.369995
02/09/2014,6829.200195,2002.280029
03/09/2014,6873.600098,2000.719971
04/09/2014,6878,1997.650024
05/09/2014,6855.100098,2007.709961
08/09/2014,6834.799805,2001.540039
09/09/2014,6829,1988.439941
10/09/2014,6830.100098,1995.689941
11/09/2014,6799.600098,1997.449951
12/09/2014,6807,1985.540039
15/09/2014,6804.200195,1984.130005
16/09/2014,6792.200195,1998.97998
17/09/2014,6780.899902,2001.569946
18/09/2014,6819.299805,2011.359985
19/09/2014,6837.899902,2010.400024
22/09/2014,6773.600098,1994.290039
23/09/2014,6676.100098,1982.77002
24/09/2014,6706.299805,1998.300049
25/09/2014,6639.700195,1965.98999
26/09/2014,6649.399902,1982.849976
29/09/2014,6646.600098,1977.800049
30/09/2014,6622.700195,1972.290039
01/10/2014,6557.5,1946.160034
02/10/2014,6446.399902,1946.170044
03/10/2014,6527.899902,1967.900024
06/10/2014,6563.700195,1964.819946
07/10/2014,6495.600098,1935.099976
08/10/2014,6482.200195,1968.890015
09/10/2014,6431.899902,1928.209961
10/10/2014,6340,1906.130005
13/10/2014,6366.200195,1874.73999
14/10/2014,6392.700195,1877.699951
15/10/2014,6211.600098,1862.48999
16/10/2014,6195.899902,1862.76001
17/10/2014,6310.299805,1886.76001
20/10/2014,6267.100098,1904.01001
21/10/2014,6372.299805,1941.280029
22/10/2014,6399.700195,1927.109985
23/10/2014,6419.200195,1950.819946
24/10/2014,6388.700195,1964.579956
27/10/2014,6363.5,1961.630005
28/10/2014,6402.200195,1985.050049
29/10/2014,6453.899902,1982.300049
30/10/2014,6463.600098,1994.650024
31/10/2014,6546.5,2018.050049
03/11/2014,6488,2017.810059
04/11/2014,6454,2012.099976
05/11/2014,6539.100098,2023.569946
06/11/2014,6551.200195,2031.209961
07/11/2014,6567.200195,2031.920044
10/11/2014,6611.299805,2038.26001
11/11/2014,6627.399902,2039.680054
12/11/2014,6611,2038.25
13/11/2014,6635.5,2039.329956
14/11/2014,6654.399902,2039.819946
17/11/2014,6672,2041.319946
18/11/2014,6709.100098,2051.800049
19/11/2014,6696.600098,2048.719971
20/11/2014,6678.899902,2052.75
21/11/2014,6750.799805,2063.5
24/11/2014,6729.799805,2069.409912
25/11/2014,6731.100098,2067.030029
26/11/2014,6729.200195,2072.830078
28/11/2014,6722.600098,2067.560059
01/12/2014,6656.399902,2053.439941
02/12/2014,6742.100098,2066.550049
03/12/2014,6716.600098,2074.330078
04/12/2014,6679.399902,2071.919922
05/12/2014,6742.799805,2075.370117
08/12/2014,6672.200195,2060.310059
09/12/2014,6529.5,2059.820068
10/12/2014,6500,2026.140015
11/12/2014,6461.700195,2035.329956
12/12/2014,6300.600098,2002.329956
15/12/2014,6182.700195,1989.630005
16/12/2014,6331.799805,1972.73999
17/12/2014,6336.5,2012.890015
18/12/2014,6466,2061.22998
19/12/2014,6545.299805,2070.649902
22/12/2014,6576.700195,2078.540039
23/12/2014,6598.200195,2082.169922
24/12/2014,6609.899902,2081.879883
29/12/2014,6633.5,2090.570068
30/12/2014,6547,2080.350098
31/12/2014,6566.100098,2058.899902
02/01/2015,6547.799805,2058.199951
05/01/2015,6417.200195,2020.579956
06/01/2015,6366.5,2002.609985
07/01/2015,6419.799805,2025.900024
08/01/2015,6570,2062.139893
09/01/2015,6501.100098,2044.810059
12/01/2015,6501.399902,2028.26001
13/01/2015,6542.200195,2023.030029
